2022-08-18 15:45:58:800 -2.7758276 4.4451566 8.097562

Gyro -0.26145023 -0.047647472 0.14049895

2022-08-18 15:45:58:870 -2.9410841 4.488267 8.032896

2022-08-18 15:45:58:871 -3.0991554 4.598438 7.951465

2022-08-18 15:45:58:873 -3.3123121 4.718189 7.8844047

2022-08-18 15:45:58:874 -3.527864 4.873865 7.814949

2022-08-18 15:45:58:875 -3.6811452 5.046306 7.690408

2022-08-18 15:45:58:876 -3.7146754 5.149292 7.510782

2022-08-18 15:45:58:877 -3.7098854 5.2091675 7.335945

2022-08-18 15:45:58:877 -3.7098854 5.1852174 7.1251836

Gyro -0.48869202 -0.123394735 0.25289813

2022-08-18 15:45:58:946 -3.6739602 5.118157 6.981482

2022-08-18 15:45:58:947 -3.6500099 5.0582814 6.871311

2022-08-18 15:45:58:948 -3.5781593 4.993616 6.701265

2022-08-18 15:45:58:948 -3.4344583 4.8163843 6.564749

2022-08-18 15:45:58:949 -3.3673975 4.6607084 6.471343

2022-08-18 15:45:58:950 -3.307522 4.5457473 6.349197

2022-08-18 15:45:58:950 -3.06323 4.239185 6.2821364

2022-08-18 15:45:58:951 -2.6967921 3.788921 6.2821364

Gyro -1.1203264 -0.2480112 0.41294473

2022-08-18 15:45:59:021 -2.339934 3.439248 6.349197

2022-08-18 15:45:59:022 -2.0573218 3.1925611 6.464158

2022-08-18 15:45:59:024 -1.9711012 2.9865894 6.5719337

2022-08-18 15:45:59:025 -2.0070264 2.8404932 6.7467704

2022-08-18 15:45:59:026 -2.1387525 2.687212 7.0078273

2022-08-18 15:45:59:026 -2.3375392 2.4644752 7.27128

2022-08-18 15:45:59:027 -2.579436 2.320774 7.443721

2022-08-18 15:45:59:027 -2.7375073 2.1770728 7.553892

Gyro -2.1600187 -0.3139846 0.80756354

2022-08-18 15:45:59:097 -2.7375073 2.078877 7.5395217

2022-08-18 15:45:59:099 -2.6201515 1.9016455 7.446116

2022-08-18 15:45:59:100 -2.4620802 1.6525636 7.2904396

2022-08-18 15:45:59:100 -2.4022048 1.3507911 7.0988383

2022-08-18 15:45:59:101 -2.3830445 0.95561284 7.0054326

2022-08-18 15:45:59:101 -2.4884255 0.4622388 6.959927

2022-08-18 15:45:59:102 -2.682422 -0.17244141 6.782696

2022-08-18 15:45:59:102 -2.912344 -0.88376224 6.615044

Gyro -2.8344138 -0.06841688 1.362229

2022-08-18 15:45:59:172 -3.05844 -1.7507594 6.330037

2022-08-18 15:45:59:174 -3.1255007 -2.6273365 6.1480155

